: Source File - D:\aRoot\mRootRhizo\tRIBSVEGGIE_files\UMBS_NetPPT_file_hourly.dat
:
: Start Date - 
: End Date - 
: Time Increment - 1hr
:
: Data - Time(seconds) Recharge (m/s)
: Time[s]	m/s
5781600	0
5785200	0
5788800	0
5792400	0
5796000	0
5799600	0
5803200	0
5806800	0
5810400	0
5814000	0
5817600	0
5821200	0
5824800	0
5828400	0
5832000	0
5835600	0
5839200	0
5842800	0
5846400	0
5850000	0
5853600	0
5857200	0
5860800	0
5864400	0
5868000	0
5871600	0
5875200	0
5878800	0
5882400	0
5886000	0
5889600	7.08855E-07
5893200	8.09244E-06
5896800	1.39433E-06
5900400	1.88476E-07
5904000	3.91753E-08
5907600	3.54263E-07
5911200	1.48673E-07
5914800	2.58181E-08
5918400	1.68333E-09
5922000	0
5925600	0
5929200	0
5932800	0
5936400	0
5940000	0
5943600	0
5947200	0
5950800	0
5954400	0
5958000	0
5961600	0
5965200	0
5968800	0
5972400	0
5976000	0
5979600	0
5983200	0
5986800	0
5990400	0
5994000	0
5997600	0
6001200	0
6004800	0
6008400	0
6012000	0
6015600	0
6019200	0
6022800	0
6026400	0
6030000	0
6033600	0
6037200	0
6040800	4.47556E-08
6044400	1.77589E-08
6048000	1.00908E-08
6051600	4.71778E-09
6055200	2.20028E-09
6058800	0
6062400	0
6066000	0
6069600	0
6073200	0
6076800	0
6080400	0
6084000	0
6087600	0
6091200	0
6094800	0
6098400	0
6102000	0
6105600	0
6109200	0
6112800	0
6116400	2.22669E-07
6120000	3.46403E-06
6123600	5.13488E-07
6127200	1.13782E-07
6130800	4.16694E-08
6134400	2.62272E-08
6138000	1.73714E-08
6141600	1.18117E-08
6145200	7.59028E-09
6148800	5.64722E-09
6152400	4.06944E-09
6156000	1.79222E-09
6159600	5.58333E-10
6163200	0
6166800	0
6170400	0
6174000	0
6177600	0
6181200	0
6184800	0
6188400	0
6192000	0
6195600	0
6199200	0
6202800	0
6206400	0
6210000	0
6213600	0
6217200	0
6220800	0
6224400	0
6228000	0
6231600	0
6235200	0
6238800	0
6242400	0
6246000	0
6249600	0
6253200	0
6256800	0
6260400	0
6264000	0
6267600	0
6271200	0
6274800	0
6278400	0
6282000	0
6285600	0
6289200	0
6292800	0
6296400	0
6300000	0
6303600	0
6307200	0
6310800	0
6314400	0
6318000	0
6321600	2.63811E-08
6325200	7.73164E-06
6328800	9.31471E-07
6332400	1.54352E-07
6336000	6.37539E-08
6339600	5.04614E-08
6343200	1.68703E-08
6346800	1.70694E-09
6350400	0
6354000	0
6357600	0
6361200	0
6364800	0
6368400	0
6372000	0
6375600	0
6379200	0
6382800	0
6386400	0
6390000	0
6393600	0
6397200	0
6400800	0
6404400	0
6408000	0
6411600	0
6415200	0
6418800	0
6422400	0
6426000	2.52675E-08
6429600	1.03466E-06
6433200	1.70101E-07
6436800	1.57422E-08
6440400	4.03889E-10
6444000	0
6447600	0
6451200	0
6454800	0
6458400	0
6462000	0
6465600	4.30933E-08
6469200	1.087E-06
6472800	5.66204E-07
6476400	1.28923E-07
6480000	3.73547E-08
6483600	2.08858E-08
6487200	1.25547E-08
6490800	7.14528E-09
6494400	4.31139E-09
6498000	1.99944E-09
6501600	1.1325E-09
6505200	4.075E-10
6508800	0
6512400	0
6516000	0
6519600	0
6523200	0
6526800	2.52892E-08
6530400	2.72364E-08
6534000	5.38528E-09
6537600	0
6541200	0
6544800	0
6548400	0
6552000	0
6555600	0
6559200	0
6562800	0
6566400	0
6570000	0
6573600	0
6577200	0
6580800	0
6584400	0
6588000	0
6591600	0
6595200	0
6598800	0
6602400	0
6606000	0
6609600	0
6613200	0
6616800	0
6620400	0
6624000	0
6627600	0
6631200	0
6634800	0
6638400	0
6642000	0
6645600	0
6649200	0
6652800	0
6656400	0
6660000	0
6663600	0
6667200	0
6670800	0
6674400	0
6678000	0
6681600	0
6685200	0
6688800	0
6692400	0
6696000	0
6699600	0
6703200	0
6706800	0
6710400	0
6714000	0
6717600	0
6721200	0
6724800	0
6728400	0
6732000	0
6735600	0
6739200	0
6742800	0
6746400	0
6750000	0
6753600	0
6757200	0
6760800	0
6764400	0
6768000	0
6771600	0
6775200	0
6778800	0
6782400	0
6786000	0
6789600	0
6793200	0
6796800	0
6800400	0
6804000	0
6807600	0
6811200	0
6814800	0
6818400	0
6822000	7.56649E-07
6825600	4.82244E-07
6829200	1.59448E-07
6832800	5.52572E-08
6836400	2.97878E-08
